Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.1352	0.0254	4240	YML082W	YML082W
0.1351	0.0317	2346	YDR219C	MFB1
0.1349	0.0223	3954	YLR265C	NEJ1
0.1345	0.0328	2425	YDR298C	ATP5
0.1343	0.0285	1028	YHR061C	GIC1
0.1343	0.0217	4978	YNR006W	VPS27
0.1342	0.0312	6114	YDR034W-B	YDR034W-B
0.1338	0.0408	2252	YDR125C	ECM18
0.1332	0.0239	1892	YDL013W	SLX5
0.1326	0.0389	2598	YDR471W	RPL27B
0.1325	0.0305	2816	YGL135W	RPL1B
0.1324	0.0249	1313	YIL128W	MET18
0.1323	0.0307	3871	YLR182W	SWI6
0.1321	0.0380	5088	YOL039W	RPP2A
0.1321	0.0255	2770	YGL089C	MF(ALPHA)2
0.1319	0.0340	3693	YLR004C	THI73
0.1317	0.0264	4491	YMR190C	SGS1
0.1316	0.0339	2251	YDR124W	YDR124W
0.1314	0.0229	5122	YOL072W	THP1
0.1312	0.0336	1014	YHR047C	AAP1
0.1311	0.0254	2925	YGL243W	TAD1
0.1309	0.0361	2063	YDL184C	RPL41A
0.1309	0.0233	5755	YPL149W	ATG5
0.1308	0.0284	6234	YBR111W-A	SUS1
0.1307	0.0251	5786	YPL180W	TCO89
0.1307	0.0347	306	YBR112C	CYC8
0.1306	0.0242	1446	YKL048C	ELM1
0.1306	0.0264	4395	YMR100W	MUB1
0.1306	0.0360	2821	YGL140C	YGL140C
0.1303	0.0293	2098	YDL219W	DTD1
0.1302	0.0461	3271	YJL027C	YJL027C
0.1301	0.0254	2766	YGL085W	LCL3
0.1298	0.0264	1557	YKL160W	ELF1
0.1298	0.0340	616	YCR063W	BUD31
0.1292	0.0230	1702	YKR082W	NUP133
0.1292	0.0304	4384	YMR089C	YTA12
0.1291	0.0241	2442	YDR315C	IPK1
0.1285	0.0278	1168	YHR200W	RPN10
0.1285	0.0222	469	YBR275C	RIF1
0.1281	0.0349	18	YAL020C	ATS1
0.1278	0.0221	4463	YMR164C	MSS11
0.1278	0.0211	472	YBR278W	DPB3
0.1271	0.0237	54	YAL059W	ECM1
0.1262	0.0356	5673	YPL067C	HTC1
0.1259	0.0312	1247	YIL060W	YIL060W
