Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.0963	0.0360	2841	YGL160W	AIM14
0.0960	0.0280	300	YBR106W	SND3
0.0960	0.0431	2651	YDR525W	API2
0.0958	0.0320	1222	YIL035C	CKA1
0.0957	0.0285	1744	YFL051C	YFL051C
0.0954	0.0352	4972	YNL339C	YRF1-6
0.0953	0.0524	4256	YML097C	VPS9
0.0952	0.0283	482	YBR288C	APM3
0.0952	0.0311	61	YAL067C	SEO1
0.0951	0.0355	325	YBR131W	CCZ1
0.0951	0.0272	5136	YOL087C	DUF1
0.0949	0.0369	3634	YLL010C	PSR1
0.0947	0.0301	3409	YJL168C	SET2
0.0944	0.0342	4071	YLR380W	CSR1
0.0944	0.0466	2450	YDR323C	PEP7
0.0943	0.0363	1239	YIL052C	RPL34B
0.0943	0.0322	5677	YPL071C	YPL071C
0.0942	0.0348	1602	YKL207W	EMC3
0.0942	0.0383	937	YHL020C	OPI1
0.0940	0.0337	2760	YGL079W	KXD1
0.0940	0.0305	5012	YNR040W	MRX15
0.0939	0.0349	1477	YKL079W	SMY1
0.0938	0.0307	5961	YPR074C	TKL1
0.0936	0.0362	3453	YJL212C	OPT1
0.0936	0.0319	3675	YLL053C	YLL053C
0.0933	0.0298	1040	YHR073W	OSH3
0.0932	0.0340	2578	YDR451C	YHP1
0.0930	0.0389	4015	YLR324W	PEX30
0.0930	0.0362	4897	YNL264C	PDR17
0.0925	0.0305	4930	YNL297C	MON2
0.0924	0.0268	3549	YJR088C	EMC2
0.0922	0.0501	2444	YDR317W	HIM1
0.0921	0.0323	2416	YDR289C	RTT103
0.0921	0.0334	3704	YLR015W	BRE2
0.0920	0.0329	5118	YOL068C	HST1
0.0918	0.0281	590	YCR033W	SNT1
0.0918	0.0295	4469	YMR170C	ALD2
0.0917	0.0313	4140	YLR450W	HMG2
0.0915	0.0388	1839	YFR048W	RMD8
0.0914	0.0415	211	YBR015C	MNN2
0.0909	0.0305	5130	YOL081W	IRA2
0.0908	0.0363	3457	YJL216C	IMA5
0.0906	0.0300	4361	YMR068W	AVO2
0.0904	0.0308	1334	YIL149C	MLP2
0.0903	0.0327	630	YCR082W	AHC2
0.0901	0.0350	1461	YKL063C	YKL063C
0.0896	0.0312	4911	YNL278W	CAF120
0.0886	0.0309	5924	YPR037C	ERV2
0.0881	0.0425	1880	YDL001W	RMD1
0.0881	0.0301	2200	YDR073W	SNF11
0.0879	0.0301	3827	YLR138W	NHA1
0.0879	0.0308	3449	YJL208C	NUC1
0.0876	0.0467	2621	YDR495C	VPS3
0.0874	0.0296	119	YBL031W	SHE1
0.0873	0.0361	297	YBR103W	SIF2
0.0873	0.0286	2945	YGL263W	COS12
0.0872	0.0399	2593	YDR466W	PKH3
0.0872	0.0341	3215	YGR270W	YTA7
0.0871	0.0322	1343	YIL158W	AIM20
0.0870	0.0396	3917	YLR228C	ECM22
0.0869	0.0341	5321	YOR109W	INP53
0.0868	0.0359	2519	YDR392W	SPT3
0.0867	0.0372	3115	YGR170W	PSD2
0.0864	0.0267	1283	YIL098C	FMC1
0.0863	0.0340	532	YCL045C	EMC1
0.0861	0.0296	726	YEL071W	DLD3
0.0861	0.0283	3239	YGR295C	COS6
0.0860	0.0303	5499	YOR288C	MPD1
0.0859	0.0316	4110	YLR420W	URA4
0.0859	0.0303	615	YCR061W	TVS1
0.0858	0.0322	4108	YLR418C	CDC73
0.0855	0.0378	2017	YDL138W	RGT2
0.0854	0.0370	4921	YNL288W	CAF40
0.0853	0.0342	2025	YDL146W	LDB17
0.0853	0.0296	6092	YLR390W-A	CCW14
0.0853	0.0344	707	YEL052W	AFG1
0.0852	0.0312	1849	YER044C-A	MEI4
0.0849	0.0369	2634	YDR508C	GNP1
0.0849	0.0342	2925	YGL243W	TAD1
0.0847	0.0341	3268	YJL024C	APS3
0.0847	0.0275	4613	YMR307W	GAS1
0.0846	0.0403	1840	YFR049W	YMR31
0.0845	0.0344	4678	YNL044W	YIP3
0.0845	0.0266	4686	YNL052W	COX5A
0.0844	0.0406	5311	YOR099W	KTR1
0.0840	0.0427	3660	YLL038C	ENT4
0.0839	0.0370	5855	YPL249C	GYP5
0.0835	0.0331	4866	YNL233W	BNI4
0.0833	0.0355	5801	YPL195W	APL5
0.0831	0.0370	5782	YPL176C	TRE1
0.0830	0.0369	3559	YJR097W	JJJ3
0.0829	0.0435	3522	YJR060W	CBF1
0.0828	0.0292	4627	YMR319C	FET4
0.0827	0.0312	4094	YLR404W	SEI1
0.0826	0.0228	591	YCR034W	ELO2
0.0823	0.0331	3808	YLR119W	SRN2
0.0823	0.0365	1449	YKL051W	SFK1
0.0823	0.0259	4597	YMR294W	JNM1
0.0819	0.0367	3822	YLR133W	CKI1
0.0819	0.0381	4299	YMR004W	MVP1
0.0818	0.0352	5299	YOR086C	TCB1
0.0818	0.0302	5443	YOR231W	MKK1
0.0817	0.0305	4916	YNL283C	WSC2
0.0817	0.0266	1252	YIL065C	FIS1
0.0812	0.0299	5755	YPL149W	ATG5
0.0811	0.0310	6059	YPR173C	VPS4
0.0809	0.0265	3412	YJL171C	TOH1
0.0808	0.0337	4688	YNL054W	VAC7
0.0807	0.0295	4056	YLR365W	YLR365W
0.0804	0.0317	4369	YMR075W	RCO1
0.0804	0.0386	1912	YDL033C	SLM3
0.0804	0.0329	3774	YLR085C	ARP6
0.0803	0.0322	1405	YKL007W	CAP1
0.0803	0.0253	1761	YFL033C	RIM15
0.0802	0.0395	2484	YDR357C	CNL1
0.0802	0.0311	3451	YJL210W	PEX2
0.0802	0.0323	4199	YML041C	VPS71
0.0801	0.0364	1860	YCR079W	PTC6
0.0801	0.0342	2805	YGL124C	MON1
0.0800	0.0353	4098	YLR408C	BLS1
0.0800	0.0369	3002	YGR057C	LST7
0.0799	0.0283	782	YER051W	JHD1
0.0797	0.0302	902	YER175C	TMT1
0.0796	0.0311	5052	YOL003C	PFA4
0.0796	0.0350	3172	YGR227W	DIE2
0.0792	0.0331	1751	YFL044C	OTU1
0.0788	0.0310	4273	YML112W	CTK3
0.0786	0.0350	1340	YIL155C	GUT2
0.0785	0.0354	2575	YDR448W	ADA2
0.0785	0.0306	1869	YAL068C	PAU8
0.0783	0.0395	2605	YDR479C	PEX29
0.0780	0.0277	4177	YML017W	PSP2
0.0780	0.0420	5301	YOR089C	VPS21
0.0780	0.0315	4158	YML001W	YPT7
0.0779	0.0337	5567	YOR355W	GDS1
0.0779	0.0378	5871	YPL265W	DIP5
0.0778	0.0367	4712	YNL079C	TPM1
0.0778	0.0344	4748	YNL115C	YNL115C
0.0777	0.0273	4173	YML013W	UBX2
0.0777	0.0298	763	YER032W	FIR1
0.0776	0.0306	2902	YGL221C	NIF3
0.0775	0.0375	5300	YOR087W	YVC1
0.0774	0.0300	3226	YGR282C	BGL2
0.0773	0.0317	844	YER115C	SPR6
0.0773	0.0338	223	YBR027C	YBR027C
0.0772	0.0347	5643	YPL037C	EGD1
0.0769	0.0291	2716	YGL034C	YGL034C
0.0767	0.0438	1708	YKR088C	TVP38
0.0763	0.0343	791	YER060W	FCY21
0.0762	0.0327	6133	YOR298C-A	MBF1
0.0762	0.0285	715	YEL060C	PRB1
0.0761	0.0262	2752	YGL071W	AFT1
0.0757	0.0371	3327	YJL084C	ALY2
0.0757	0.0312	1188	YIL001W	YIL001W
0.0757	0.0258	5457	YOR246C	ENV9
0.0754	0.0274	4278	YML117W	NAB6
0.0753	0.0322	906	YER179W	DMC1
0.0753	0.0310	5011	YNR039C	ZRG17
0.0751	0.0303	4599	YMR295C	YMR295C
0.0751	0.0324	4947	YNL314W	DAL82
0.0747	0.0365	68	YAR018C	KIN3
0.0746	0.0312	5609	YPL003W	ULA1
0.0744	0.0311	74	YAR029W	YAR029W
0.0744	0.0281	5589	YOR377W	ATF1
0.0743	0.0298	173	YBL085W	BOI1
0.0743	0.0281	5762	YPL156C	PRM4
0.0743	0.0358	485	YBR291C	CTP1
0.0741	0.0295	4955	YNL322C	KRE1
0.0740	0.0310	2571	YDR444W	YDR444W
0.0739	0.0293	12	YAL014C	SYN8
0.0738	0.0346	1260	YIL073C	SPO22
0.0737	0.0319	411	YBR217W	ATG12
0.0737	0.0276	6108	YBL091C-A	SCS22
0.0736	0.0317	5065	YOL016C	CMK2
0.0735	0.0356	643	YCR095C	OCA4
0.0733	0.0402	3784	YLR095C	IOC2
0.0732	0.0304	2456	YDR329C	PEX3
0.0732	0.0303	149	YBL061C	SKT5
0.0731	0.0314	2601	YDR475C	JIP4
0.0730	0.0299	958	YHL041W	YHL041W
0.0730	0.0332	5813	YPL207W	TYW1
0.0730	0.0263	601	YCR044C	PER1
0.0729	0.0309	5211	YOL163W	YOL163W
0.0728	0.0341	1197	YIL010W	DOT5
0.0728	0.0256	4316	YMR021C	MAC1
0.0726	0.0310	2033	YDL154W	MSH5
0.0725	0.0298	1830	YFR039C	OSW7
0.0724	0.0319	139	YBL051C	PIN4
0.0724	0.0330	5869	YPL263C	KEL3
0.0724	0.0333	4400	YMR105C	PGM2
0.0722	0.0396	2400	YDR273W	DON1
