"ORF","SGD","ENTREZID","GENENAME","ENSEMBL"
"YOR072W-A","S000028582",NA,NA,NA
"YGR110W","S000003342","853007","CLD1","YGR110W"
"YOR237W","S000005763","854412","HES1","YOR237W"
"YMR238W","S000004851","855278","DFG5","YMR238W"
"YLR214W","S000004204","850911","FRE1","YLR214W"
"YER162C","S000000964","856909","RAD4","YER162C"
"YNL077W","S000005021","855647","APJ1","YNL077W"
"YLR271W","S000004261","850976","CMG1","YLR271W"
"YLR211C","S000004201","850908","ATG38","YLR211C"
"YDR055W","S000002462","851625","PST1","YDR055W"
"YHR213W-B","S000028652","1466533",NA,"YHR213W-B"
"YKL163W","S000001646","853693","PIR3","YKL163W"
"YOR385W","S000005912","854567",NA,"YOR385W"
"YPL283W-B","S000028724",NA,NA,NA
"YJL052W","S000003588","853395","TDH1","YJL052W"
"YLR164W","S000004154","850861","SHH4","YLR164W"
"YPR203W","S000006407","856333",NA,"YPR203W"
"YPL278C","S000006199","855851",NA,"YPL278C"
"YDR215C","S000002623","851801",NA,NA
"YDR374C","S000002782","851980","PHO92","YDR374C"
"YMR293C","S000004907","855338","HER2","YMR293C"
"YDR271C","S000002679",NA,NA,NA
"YBR109W-A","S000028737",NA,NA,NA
"YMR280C","S000004893","855323","CAT8","YMR280C"
"YML100W-A","S000028688","1466496",NA,"YML100W-A"
"YMR046W-A","S000007248",NA,NA,NA
"YMR090W","S000004696","855115",NA,"YMR090W"
"YIL099W","S000001361","854708","SGA1","YIL099W"
"YNL240C","S000005184","855481","NAR1","YNL240C"
"YMR245W","S000004859",NA,NA,NA
"YDL010W","S000002168","851551","GRX6","YDL010W"
"YMR056C","S000004660","855078","AAC1","YMR056C"
"YGR146C-A","S000028638","1466459",NA,"YGR146C-A"
"YLR327C","S000004319","851037","TMA10","YLR327C"
"YMR137C","S000004745","855168","PSO2","YMR137C"
"YOR054C","S000005580","854220","VHS3","YOR054C"
"YPL222W","S000006143","855879","FMP40","YPL222W"
"YDL210W","S000002369","851317","UGA4","YDL210W"
"YCR097W","S000000694","850459","HMRA1","YCR097W"
"YNR077C","S000005360","855814",NA,"YNR077C"
"YMR077C","S000004682","855101","VPS20","YMR077C"
"YGL180W","S000003148","852695","ATG1","YGL180W"
"YKL151C","S000001634","853706","NNR2","YKL151C"
"YDR461W","S000002869","852072","MFA1","YDR461W"
"YBR285W","S000000489","852588",NA,"YBR285W"
"YOR215C","S000005741","854390","AIM41","YOR215C"
"YIL071W-A","S000028793",NA,NA,NA
"YNL335W","S000005279","855381","DDI3","YFL061W"
"YNL335W","S000005279","855381","DDI3","YNL335W"
"YBR290W","S000000494","852593","BSD2","YBR290W"
"YMR316C-B","S000004934",NA,NA,NA
"YFL013W-A","S000028628",NA,NA,NA
"YDL099W","S000002257","851459","BUG1","YDL099W"
"YPR093C","S000006297","856208","ASR1","YPR093C"
"YLR364C-A","S000028846",NA,NA,NA
"YNL015W","S000004960","855717","PBI2","YNL015W"
"YOR020W-A","S000028526","1466480",NA,"YOR020W-A"
"YDR533C","S000002941","852146","HSP31","YDR533C"
"YOR381W-A","S000028587","1466489",NA,"YOR381W-A"
"YOR089C","S000005615","854256","VPS21","YOR089C"
"YOR083W","S000005609","854249","WHI5","YOR083W"
"YHR209W","S000001252","856616","CRG1","YHR209W"
"YKR076W","S000001784","853951","ECM4","YKR076W"
"YDR540C","S000002948","852153","IRC4","YDR540C"
"YMR322C","S000004941","855372","SNO4","YMR322C"
"YDR034W-B","S000007234","851604",NA,"YDR034W-B"
"YFL041W-A","S000028547","1466401",NA,"YFL041W-A"
"YJL115W","S000003651","853327","ASF1","YJL115W"
"YNL196C","S000005140","855525","SLZ1","YNL196C"
"YGL045W","S000003013","852837","RIM8","YGL045W"
"YOR173W","S000005699","854344","DCS2","YOR173W"
"YLL046C","S000003969","850680","RNP1","YLL046C"
"YGR027W-A","S000007405","852912",NA,NA
"YER184C","S000000986","856933","TOG1","YER184C"
"YMR182W-A","S000028693","1466502",NA,"YMR182W-A"
"YBR040W","S000000244","852328","FIG1","YBR040W"
"YKL129C","S000001612","853729","MYO3","YKL129C"
"YOR392W","S000005919",NA,NA,NA
"YMR041C","S000004644","855057","ARA2","YMR041C"
"YPL274W","S000006195","855854","SAM3","YPL274W"
"YIL071C","S000001333","854739","PCI8","YIL071C"
"YER018C","S000000820","856738","SPC25","YER018C"
"YMR020W","S000004622","855034","FMS1","YMR020W"
"YMR103C","S000004709","855129",NA,NA
"YGR258C","S000003490","853174","RAD2","YGR258C"
"YDL007C-A","S000113557","3799969",NA,"YDL007C-A"
"YMR085W","S000004690","855109",NA,"YMR085W"
"YNL334C","S000005278","855382","SNO2","YNL334C"
"YOL054W","S000005415","854102","PSH1","YOL054W"
"YML084W","S000004549",NA,NA,NA
"YAL008W","S000000006","851225","FUN14","YAL008W"
"YER106W","S000000908","856843","MAM1","YER106W"
"YKL221W","S000001704","853659","MCH2","YKL221W"
"YCR100C","S000000697","850464",NA,"YCR100C"
"YCL012C","S000029705","2746859",NA,"YCL012C"
"YDL169C","S000002328","851385","UGX2","YDL169C"
"YNL136W","S000005080","855586","EAF7","YNL136W"
"YGL166W","S000003134","852710","CUP2","YGL166W"
"YHR175W-A","S000028553","1466530",NA,"YHR175W-A"
"YBR103C-A","S000007593",NA,NA,NA
"YNL192W","S000005136","855529","CHS1","YNL192W"
"YLL047W","S000003970",NA,NA,NA
"YIR025W","S000001464","854843","MND2","YIR025W"
"YCR020C","S000000613","850382","PET18","YCR020C"
"YLR423C","S000004415","851142","ATG17","YLR423C"
"YLR107W","S000004097","850797","REX3","YLR107W"
"YOR148C","S000005674","854319","SPP2","YOR148C"
"YGL164C","S000003132","852712","YRB30","YGL164C"
"YGL006W","S000002974","852878","PMC1","YGL006W"
"YPR007C","S000006211","856115","REC8","YPR007C"
"YGR296W","S000003528","853213","YRF1-3","YGR296W"
"YGR296W","S000003528","853213","YRF1-3","YPL283C"
"YGR174W-A","S000028639","1466461",NA,"YGR174W-A"
"YOR379C","S000005906",NA,NA,NA
"YER152C","S000000954","856896",NA,"YER152C"
