"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015931","BP","GO:0015931","nucleobase-containing compound transport",0.0967741935483871,0.0327102803738318,0.00318233196940318,0.0408893860805734,0.0348956395572274,"YER039C/YKL120W/YNL064C/YML103C/YDR395W/YOR222W/YJR077C/YLL023C/YER110C",9
"GO:0006999","BP","GO:0006999","nuclear pore organization",0.032258064516129,0.003288335064036,0.00324518937147408,0.0408893860805734,0.0348956395572274,"YML103C/YDR233C/YLL023C",3
"GO:0140029","BP","GO:0140029","exocytic process",0.032258064516129,0.003288335064036,0.00324518937147408,0.0408893860805734,0.0348956395572274,"YDR166C/YOR326W/YFL005W",3
"GO:0006694","BP","GO:0006694","steroid biosynthetic process",0.043010752688172,0.00674974039460021,0.00336287754322561,0.0417302531500269,0.0356132486236332,"YGR175C/YML075C/YGL012W/YHR133C",4
"GO:0031984","CC","GO:0031984","organelle subcompartment",0.329787234042553,0.0794805194805195,1.82691695894883e-12,3.17883550857097e-10,2.21153105556964e-10,"YPR037C/YNR019W/YGL055W/YDL126C/YER039C/YGR284C/YLR034C/YNL297C/YDL204W/YGL065C/YKR003W/YGR038W/YGR157W/YNR016C/YGR175C/YJR075W/YDR170C/YPL218W/YGR106C/YML075C/YML072C/YML048W/YPL227C/YGL012W/YDR233C/YDL015C/YHR133C/YLL023C/YBR187W/YLR372W/YCR034W",31
"GO:0005789","CC","GO:0005789","endoplasmic reticulum membrane",0.287234042553192,0.0675324675324675,4.24389338716809e-11,3.50952428573332e-09,2.44159281826577e-09,"YPR037C/YNR019W/YGL055W/YDL126C/YER039C/YGR284C/YLR034C/YDL204W/YGL065C/YKR003W/YGR038W/YGR157W/YNR016C/YGR175C/YPL218W/YGR106C/YML075C/YML072C/YML048W/YPL227C/YGL012W/YDR233C/YDL015C/YHR133C/YLL023C/YLR372W/YCR034W",27
"GO:0098827","CC","GO:0098827","endoplasmic reticulum subcompartment",0.287234042553192,0.0685714285714286,6.05090394091951e-11,3.50952428573332e-09,2.44159281826577e-09,"YPR037C/YNR019W/YGL055W/YDL126C/YER039C/YGR284C/YLR034C/YDL204W/YGL065C/YKR003W/YGR038W/YGR157W/YNR016C/YGR175C/YPL218W/YGR106C/YML075C/YML072C/YML048W/YPL227C/YGL012W/YDR233C/YDL015C/YHR133C/YLL023C/YLR372W/YCR034W",27
"GO:0042175","CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.287234042553192,0.06995670995671,9.60982809098464e-11,4.18027521957832e-09,2.90823744858746e-09,"YPR037C/YNR019W/YGL055W/YDL126C/YER039C/YGR284C/YLR034C/YDL204W/YGL065C/YKR003W/YGR038W/YGR157W/YNR016C/YGR175C/YPL218W/YGR106C/YML075C/YML072C/YML048W/YPL227C/YGL012W/YDR233C/YDL015C/YHR133C/YLL023C/YLR372W/YCR034W",27
"GO:0008540","CC","GO:0008540","proteasome regulatory particle, base subcomplex",0.0425531914893617,0.00173160173160173,1.28297984589002e-05,0.000422598763454843,0.000294003979415045,"YDL007W/YIL075C/YHR027C/YOR117W",4
"GO:0005838","CC","GO:0005838","proteasome regulatory particle",0.0531914893617021,0.00363636363636364,1.70010996792178e-05,0.000422598763454843,0.000294003979415045,"YDL007W/YFR004W/YIL075C/YHR027C/YOR117W",5
