"baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast"
4.90020045118789,0.0325468634651619,0.321691248693371,0.699397903906466,0.785408806608309,"YIL100W","KAN_vs_WT"
398.540634535709,0.615424995853548,0.123526230092153,1.48293395349326e-07,7.94123699332536e-07,"YIL099W","KAN_vs_WT"
345.161087440408,0.135828754925995,0.128709504347373,0.251834100102433,0.361585930140257,"YIL098C","KAN_vs_WT"
919.139796775922,0.225267268042148,0.075797684600467,0.00218118368496762,0.00613664278954159,"YIL097W","KAN_vs_WT"
362.609127861646,-0.635951021645847,0.134221888378632,4.50743531147575e-07,2.30814292813738e-06,"YIL096C","KAN_vs_WT"
1101.00300783277,0.148085789714112,0.0743731173480402,0.0407611404899079,0.082185592455561,"YIL095W","KAN_vs_WT"
2716.76489774133,0.385199870489778,0.0517326230439348,4.15125655697967e-14,3.86329752335119e-13,"YIL094C","KAN_vs_WT"
813.996214199777,-0.0887028109820384,0.0882159041832329,0.294253865050295,0.410824165544148,"YIL093C","KAN_vs_WT"
440.223844661777,-0.201737201236005,0.103542069363826,0.0392462454180383,0.0797161764052022,"YIL092W","KAN_vs_WT"
743.018674778527,-0.862703282994126,0.0954986870699743,2.25583422441088e-20,2.9759115791341e-19,"YIL091C","KAN_vs_WT"
1175.35185669148,-0.370635885471364,0.0706828103320562,7.48533034205127e-08,4.13821543581995e-07,"YIL090W","KAN_vs_WT"
168.571089674797,-0.00642577879618781,0.154595735142269,0.960213643061292,0.974405778099494,"YIL089W","KAN_vs_WT"
2330.42414731357,0.0779410734242874,0.0569387291407123,0.164866811037515,0.261035675005276,"YIL088C","KAN_vs_WT"
727.372730012444,0.194434089013576,0.0871504250990138,0.0202226275337519,0.0451543404190029,"YIL087C","KAN_vs_WT"
33.6090852804494,0.640746940469076,0.442334142861063,0.0162627604117745,0.0374369337129337,"YIL086C","KAN_vs_WT"
1620.76328047838,-0.0487413793605766,0.0719567592150937,0.483409682832042,0.596614411292124,"YIL085C","KAN_vs_WT"
555.476649335692,-0.167386073073821,0.10095287749801,0.0819076289214829,0.147836134577221,"YIL084C","KAN_vs_WT"
