"","column","row","cor","num_obs","gene1","gene2"
"167","YNL287W","YJL207C",0.915111466660225,3916,"LAA1","SEC21"
"168","YNL287W","YGL238W",0.922550626768748,3916,"CSE1","SEC21"
"169","YNL287W","YLR305C",0.906191445198048,3916,"STT4","SEC21"
"170","YNL287W","YHR186C",0.911596293206175,3911,"KOG1","SEC21"
"171","YNL287W","YLR386W",0.92868858848081,3916,"VAC14","SEC21"
"172","YOR112W","YDR238C",0.904029678403555,3916,"SEC26","CEX1"
"173","YOR160W","YDR238C",0.904604930902405,3916,"SEC26","MTR10"
"174","YPL012W","YDR060W",0.926045644101334,3916,"MAK21","RRP12"
"175","YPL012W","YDR496C",0.932345749034646,3914,"PUF6","RRP12"
"176","YPL012W","YDL063C",0.959977619809881,3909,"SYO1","RRP12"
"177","YPL012W","YJL109C",0.919478460125361,3916,"UTP10","RRP12"
"178","YPL012W","YGR245C",0.904407861934005,3916,"SDA1","RRP12"
"179","YPL012W","YLR002C",0.922560817284467,3916,"NOC3","RRP12"
"180","YPL012W","YHR085W",0.915826150913938,3911,"IPI1","RRP12"
"181","YPL012W","YJL010C",0.933855619443922,3916,"NOP9","RRP12"
"182","YPL082C","YDR180W",0.913032183953326,3916,"SCC2","MOT1"
"183","YPL082C","YDR170C",0.909032924782079,3916,"SEC7","MOT1"
"184","YPL125W","YKL033W",0.90078008053286,3916,"TTI1","KAP120"
"185","YPL125W","YDR238C",0.906397731071951,3916,"SEC26","KAP120"
"186","YPL226W","YJL109C",0.916056731104812,3916,"UTP10","NEW1"
"187","YPL226W","YMR259C",0.903069798896805,3916,"TRM732","NEW1"
"188","YPR042C","YBR136W",0.904413713647659,3915,"MEC1","PUF2"
"189","YPR042C","YGR218W",0.916287224341169,3915,"CRM1","PUF2"
"190","YPR042C","YDR457W",0.916205706961632,3915,"TOM1","PUF2"
"191","YPR042C","YIL129C",0.915178109012135,3915,"TAO3","PUF2"
"192","YPR042C","YFL007W",0.906369223396238,3915,"BLM10","PUF2"
