"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce04145","Phagosome",0.0283687943262411,0.0168837433671008,0.00390490010842255,0.0490386125398593,0.0434691302292381,"YML001W/YLR268W/YBR127C/YPL234C/YPR036W/YGR020C/YHR039C-A/YER019C-A/YDR086C/YML085C/YOR270C/YML124C/YDL185W/YBR283C/YEL027W/YKL080W/YHR026W/YER087C-B/YFL037W/YLR378C",20,"raw_B1_WT_vs_B1_ATG","Down"
"sce00290","Valine, leucine and isoleucine biosynthesis",0.0141843971631206,0.00578871201157742,0.000631033395456436,0.0149870431420903,0.0132849135885565,"YNL104C/YMR108W/YGL009C/YCL009C/YLR355C/YHR208W/YER086W/YJR016C/YOR108W/YCL064C",10,"raw_B1_WT_vs_B1_ATG","Down"
"sce01200","Carbon metabolism",0.130081300813008,0.0540279787747226,0.000655680927249839,0.0478647076892383,0.0448623792328837,"YBR117C/YMR118C/YGR256W/YDL021W/YCR005C/YJL052W/YGR254W/YNL117W/YAL054C/YOR393W/YPL281C/YLR164W/YGR088W/YPR001W/YGR043C/YDR248C",16,"corrected_Co_WT_vs_Co_ATG","Up"
"sce01110","Biosynthesis of secondary metabolites",0.411214953271028,0.168837433671008,8.4739285311217e-10,6.10122854240763e-08,5.26275561406506e-08,"YIR034C/YNL169C/YHR033W/YER055C/YJL097W/YDR408C/YHR123W/YPL111W/YER170W/YMR300C/YLR359W/YER052C/YDL205C/YOR202W/YDR044W/YGL148W/YAR015W/YHR163W/YMR274C/YKL141W/YER086W/YDL171C/YGL234W/YGR124W/YDR158W/YOR136W/YHR025W/YLR180W/YLR058C/YER026C/YAL012W/YMR120C/YCR053W/YGL202W/YDR399W/YGL253W/YLR134W/YMR189W/YBR249C/YDR178W/YJR016C/YBR029C/YOL143C/YPL061W",44,"corrected_Co_WT_vs_Co_ATG","Down"
"sce01230","Biosynthesis of amino acids",0.196261682242991,0.0602990834539315,5.93372834946942e-07,2.13614220580899e-05,1.84257880325629e-05,"YIR034C/YHR033W/YER055C/YLR089C/YPL111W/YER052C/YOR202W/YGL148W/YER086W/YDL171C/YGR124W/YDR158W/YOR136W/YHR025W/YLR180W/YLR058C/YAL012W/YCR053W/YGL202W/YBR249C/YJR016C",21,"corrected_Co_WT_vs_Co_ATG","Down"
"sce00230","Purine metabolism",0.0934579439252336,0.0270139893873613,0.000423957002712283,0.0076312260488211,0.00658249030526966,"YNL220W/YDR408C/YER170W/YMR300C/YLR359W/YAR015W/YGL234W/YJR105W/YMR120C/YDR399W",10,"corrected_Co_WT_vs_Co_ATG","Down"
"sce00260","Glycine, serine and threonine metabolism",0.0841121495327103,0.0144717800289436,1.07119289379728e-05,0.000257086294511347,0.000221755721873823,"YER052C/YER086W/YDR158W/YHR025W/YLR058C/YER026C/YAL012W/YCR053W/YMR189W",9,"corrected_Co_WT_vs_Co_ATG","Down"
"sce00300","Lysine biosynthesis",0.0373831775700935,0.00578871201157742,0.00240916608805562,0.034691991668001,0.0299243787779541,"YIR034C/YER052C/YDR158W/YGL202W",4,"corrected_Co_WT_vs_Co_ATG","Down"
"sce01200","Carbon metabolism",0.2,0.0540279787747226,0.00101698506201024,0.0233906564262355,0.0181986800570253,"YAL054C/YBR117C/YCR005C/YDL021W/YGR254W/YGR256W/YJL052W/YPR001W",8,"corrected_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",0.175,0.0265315967197299,5.93967186039536e-05,0.00273224905578186,0.00212577729740465,"YAL054C/YDL021W/YGL256W/YGR087C/YGR254W/YJL052W/YMR169C",7,"corrected_B2_WT_vs_B2_ATG_and_corrected_Co_WT_vs_Co_ATG","Up"
