"","target_orf","target","source_orf","source","interactor","min_peps","min_prob","min_crap_expt","pma_int"
"273","YFL037W","TUB2","YBR079C","RPG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"274","YFL037W","TUB2","YDR335W","MSN5","Predicted",1,80,13,"Not A PMA1 Interactor"
"301","YGL195W","GCN1","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"311","YGL195W","GCN1","YBR025C","OLA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"326","YGL195W","GCN1","YBR025C","OLA1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"333","YGL195W","GCN1","YDR190C","RVB1","Predicted",1,80,13,"Not A PMA1 Interactor"
"335","YGL195W","GCN1","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"343","YGR191W","HIP1","YBR127C","VMA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"346","YGR191W","HIP1","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"377","YGR191W","HIP1","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"385","YHR005C","GPA1","YDL100C","GET3","Predicted",1,80,13,"Not A PMA1 Interactor"
"394","YHR020W","YHR020W","YGR175C","ERG1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"413","YHR020W","YHR020W","YEL022W","GEA2","Co-complex",1,80,13,"Not A PMA1 Interactor"
"424","YHR064C","SSZ1","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"425","YHR064C","SSZ1","YDR457W","TOM1","Predicted",1,80,13,"Not A PMA1 Interactor"
"431","YHR064C","SSZ1","YGR191W","HIP1","Predicted",1,80,13,"PMA1 Interactor"
"432","YHR064C","SSZ1","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"472","YHR108W","GGA2","YGL195W","GCN1","Predicted",1,80,13,"Not A PMA1 Interactor"
"476","YHR108W","GGA2","YGL206C","CHC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"481","YHR108W","GGA2","YGL206C","CHC1","Literature",1,80,13,"Not A PMA1 Interactor"
"494","YHR174W","ENO2","YCR012W","PGK1","Predicted",1,80,13,"Not A PMA1 Interactor"
"498","YHR174W","ENO2","YEL031W","SPF1","Predicted",1,80,13,"Not A PMA1 Interactor"
"500","YHR174W","ENO2","YCR012W","PGK1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"505","YIL142W","CCT2","YDR212W","TCP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"521","YIL142W","CCT2","YDR188W","CCT6","Co-complex",1,80,13,"Not A PMA1 Interactor"
"536","YJL012C","VTC4","YGR191W","HIP1","Predicted",1,80,13,"PMA1 Interactor"
"539","YJL012C","VTC4","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"551","YJL012C","VTC4","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"572","YJL130C","URA2","YDR190C","RVB1","Predicted",1,80,13,"Not A PMA1 Interactor"
"594","YJR045C","SSC1","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"598","YJR045C","SSC1","YDR141C","DOP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"599","YJR045C","SSC1","YER145C","FTR1","Predicted",1,80,13,"Not A PMA1 Interactor"
"600","YJR045C","SSC1","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"607","YJR045C","SSC1","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"619","YJR045C","SSC1","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"656","YJR045C","SSC1","YGL206C","CHC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"675","YJR045C","SSC1","YBR079C","RPG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"692","YJR045C","SSC1","YGL195W","GCN1","Predicted",1,80,13,"Not A PMA1 Interactor"
"725","YJR045C","SSC1","YBR287W","YBR287W","Predicted",1,80,13,"Not A PMA1 Interactor"
"730","YJR045C","SSC1","YGR191W","HIP1","Predicted",1,80,13,"PMA1 Interactor"
"744","YJR045C","SSC1","YHR064C","SSZ1","Predicted",1,80,13,"Not A PMA1 Interactor"
"747","YJR045C","SSC1","YDL103C","QRI1","Predicted",1,80,13,"Not A PMA1 Interactor"
"765","YJR045C","SSC1","YDL112W","TRM3","Predicted",1,80,13,"Not A PMA1 Interactor"
"770","YJR045C","SSC1","YDR335W","MSN5","Predicted",1,80,13,"Not A PMA1 Interactor"
"781","YJR045C","SSC1","YHR174W","ENO2","Predicted",1,80,13,"Not A PMA1 Interactor"
"786","YJR045C","SSC1","YDR099W","BMH2","Predicted",1,80,13,"Not A PMA1 Interactor"
"789","YJR045C","SSC1","YHR108W","GGA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"813","YJR045C","SSC1","YGL055W","OLE1","Predicted",1,80,13,"Not A PMA1 Interactor"
"820","YJR045C","SSC1","YBR025C","OLA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"837","YJR064W","CCT5","YIL142W","CCT2","Predicted",1,80,13,"Not A PMA1 Interactor"
"846","YJR064W","CCT5","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"849","YJR064W","CCT5","YDR212W","TCP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"880","YJR065C","ARP3","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"881","YJR072C","NPA3","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"913","YJR109C","CPA2","YJL130C","URA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"923","YJR109C","CPA2","YER086W","ILV1","Predicted",1,80,13,"Not A PMA1 Interactor"
"934","YJR109C","CPA2","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"942","YJR109C","CPA2","YDR190C","RVB1","Predicted",1,80,13,"Not A PMA1 Interactor"
"982","YJR121W","ATP2","YBR025C","OLA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"987","YJR121W","ATP2","YBR039W","ATP3","Predicted",1,80,13,"Not A PMA1 Interactor"
"998","YJR121W","ATP2","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"999","YJR121W","ATP2","YDL185W","VMA1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1003","YJR121W","ATP2","YBR025C","OLA1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1011","YKL010C","UFD4","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1033","YKL010C","UFD4","YJR109C","CPA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1051","YKL010C","UFD4","YJL130C","URA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1057","YKL181W","PRS1","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1068","YKL181W","PRS1","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1094","YKL182W","FAS1","YDL112W","TRM3","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1101","YKL182W","FAS1","YDR099W","BMH2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1115","YKL182W","FAS1","YDL112W","TRM3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1121","YKL182W","FAS1","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1122","YKL182W","FAS1","YJR109C","CPA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1178","YKR082W","NUP133","YDR335W","MSN5","Predicted",1,80,13,"Not A PMA1 Interactor"
"1187","YKR082W","NUP133","YJR072C","NPA3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1205","YLR044C","PDC1","YCR012W","PGK1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1212","YLR044C","PDC1","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1218","YLR044C","PDC1","YHR174W","ENO2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1221","YLR044C","PDC1","YCR012W","PGK1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1223","YLR044C","PDC1","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1224","YLR044C","PDC1","YHR174W","ENO2","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1226","YLR044C","PDC1","YKL182W","FAS1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1232","YLR044C","PDC1","YIL142W","CCT2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1235","YLR044C","PDC1","YKL182W","FAS1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1248","YLR056W","ERG3","YHR190W","ERG9","Predicted",1,80,13,"Not A PMA1 Interactor"
"1257","YLR056W","ERG3","YGR175C","ERG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1271","YLR106C","MDN1","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1287","YLR106C","MDN1","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1289","YLR106C","MDN1","YJR109C","CPA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1300","YLR106C","MDN1","YJL130C","URA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1316","YLR153C","ACS2","YDL055C","PSA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1319","YLR153C","ACS2","YLR106C","MDN1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1328","YLR153C","ACS2","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1342","YLR153C","ACS2","YBR025C","OLA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1350","YLR347C","KAP95","YJL026W","RNR2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1354","YLR347C","KAP95","YJR109C","CPA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1364","YLR347C","KAP95","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1373","YLR347C","KAP95","YJL130C","URA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1389","YLR378C","SEC61","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1403","YLR447C","VMA6","YBR127C","VMA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1412","YML072C","TCB3","YCR012W","PGK1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1415","YML072C","TCB3","YLR044C","PDC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1430","YML072C","TCB3","YER145C","FTR1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1443","YML085C","TUB1","YFL037W","TUB2","Literature",1,80,13,"Not A PMA1 Interactor"
"1449","YML120C","NDI1","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1469","YMR015C","ERG5","YGR175C","ERG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1490","YMR015C","ERG5","YLR056W","ERG3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1491","YMR015C","ERG5","YGL055W","OLE1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1504","YMR108W","ILV2","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1518","YMR186W","HSC82","YKL181W","PRS1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1521","YMR186W","HSC82","YJL026W","RNR2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1525","YMR186W","HSC82","YHR005C","GPA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1528","YMR186W","HSC82","YGL055W","OLE1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1535","YMR186W","HSC82","YJR121W","ATP2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1549","YMR186W","HSC82","YJR072C","NPA3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1559","YMR186W","HSC82","YDR212W","TCP1","Predicted",1,80,13,"Not A PMA1 Interactor"
