"","orf_name","log10p","fdr","lfc","contrast"
"52","GNP1",-2.83486753632401,0.0460408352575495,2.67847981378558,"YBR_vs_Control"
"53","DPL1",-1.55938865389005,0.234354856459581,2.59595832904529,"YBR_vs_Control"
"54","SEC26",-2.56011935846109,0.0696859434862032,2.55399373316696,"YBR_vs_Control"
"55","THS1",-1.08821324545352,0.446236285874377,2.55095284352314,"YBR_vs_Control"
"56","ADE5,7",-2.05470009892627,0.116058185881699,2.52041556928856,"YBR_vs_Control"
"57","ALG5",-2.22111573968627,0.0956929387550283,2.40257139872391,"YBR_vs_Control"
"58","CCT5",-1.23194859745826,0.369055879362542,2.33308863506114,"YBR_vs_Control"
"59","RPN2",-2.15281794696841,0.101876519727731,2.2481800229087,"YBR_vs_Control"
"60","URA7",-1.46217280028266,0.27150506668053,2.19603380796123,"YBR_vs_Control"
"61","ACC1",-1.09533224438851,0.446236285874377,2.1123642278732,"YBR_vs_Control"
"62","RPT2",-2.08360649731309,0.112682428779224,2.06058608653134,"YBR_vs_Control"
"63","YMC1",-1.81819473661927,0.164599721362201,1.89518817634257,"YBR_vs_Control"
"64","MIR1",-6.34910167894455,8.10171377447548e-05,1.88609183356752,"YBR_vs_Control"
"65","TUF1",-1.05474362767826,0.446236285874377,1.79428430405964,"YBR_vs_Control"
"66","HFD1",-2.15605780349916,0.101876519727731,1.75658036141896,"YBR_vs_Control"
"67","GSF2",-1.9389587667663,0.138876431655834,1.73843478931105,"YBR_vs_Control"
"68","VOA1",-1.05626613994326,0.446236285874377,1.68081681534021,"YBR_vs_Control"
"69","ERG4",-1.07650941354955,0.446236285874377,1.6682765378852,"YBR_vs_Control"
"70","SLC1",-1.55536615726059,0.234354856459581,1.65642370293805,"YBR_vs_Control"
"71","NPA3",-1.41519374183334,0.291144519099273,1.59178024662043,"YBR_vs_Control"
"72","CDC48",-2.39664598583172,0.0748830862105077,1.57355559052568,"YBR_vs_Control"
"73","HOC1",-1.38110768950905,0.296876990888282,1.52325642747254,"YBR_vs_Control"
"74","CCT4",-0.974470738113572,0.489066792868497,1.42614862298256,"YBR_vs_Control"
"75","OLE1",-1.01875557287963,0.453510005692104,1.41235500535443,"YBR_vs_Control"
"76","URA2",-1.41634454595111,0.291144519099273,1.38766242876249,"YBR_vs_Control"
"77","VMA2",-3.03512050247217,0.0351450740555322,1.26196300718045,"YBR_vs_Control"
"78","RPC40",-0.962636682526793,0.494382237688122,1.25228510168003,"YBR_vs_Control"
"79","PHO84",-1.97914088228871,0.128749535911833,1.0857330194193,"YBR_vs_Control"
"80","RNR2",-1.3356453447615,0.315346021497411,1.07674578095757,"YBR_vs_Control"
"81","YDJ1",-1.10498302930944,0.446236285874377,0.986306115068423,"YBR_vs_Control"
"82","TUB2",-1.66160832495508,0.204946032847367,0.901230414016503,"YBR_vs_Control"
"83","RPT1",-1.05643345224681,0.446236285874377,0.871717427400741,"YBR_vs_Control"
"84","PSA1",-1.15042656403666,0.416300459953196,0.790474920054786,"YBR_vs_Control"
"85","ATP2",-1.0575345388586,0.446236285874377,0.51149941273694,"YBR_vs_Control"
